Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_3_52,VGND,li1,30.1300,21.7600,0.000002
FILLER_3_49,VGND,li1,28.7500,21.7600,0.000002
FILLER_3_46,VGND,li1,27.3700,21.7600,0.000002
FILLER_3_43,VGND,li1,25.9900,21.7600,0.000002
FILLER_3_40,VGND,li1,24.6100,21.7600,0.000002
FILLER_3_37,VGND,li1,23.2300,21.7600,0.000002
FILLER_3_29,VGND,li1,19.3200,21.7600,0.000002
FILLER_3_26,VGND,li1,18.1700,21.7600,0.000002
FILLER_3_23,VGND,li1,16.7900,21.7600,0.000002
FILLER_3_20,VGND,li1,15.4100,21.7600,0.000003
FILLER_3_6,VGND,li1,8.5100,21.7600,0.000003
FILLER_2_53,VGND,li1,30.1300,16.3200,0.000005
FILLER_2_50,VGND,li1,29.2100,16.3200,0.000005
FILLER_2_47,VGND,li1,27.8300,16.3200,0.000004
FILLER_2_44,VGND,li1,26.4500,16.3200,0.000004
FILLER_2_41,VGND,li1,25.0700,16.3200,0.000004
FILLER_2_38,VGND,li1,23.6900,16.3200,0.000004
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000005
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000005
FILLER_1_57,VGND,li1,31.9700,16.3200,0.000005
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000005
FILLER_1_51,VGND,li1,29.2100,16.3200,0.000005
FILLER_0_73,VGND,li1,39.5600,10.8800,0.000006
FILLER_0_63,VGND,li1,34.7300,10.8800,0.000006
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000006
FILLER_0_41,VGND,li1,24.6100,10.8800,0.000004
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000005
output62,VGND,li1,14.2600,43.5200,0.000008
output61,VGND,li1,23.9200,43.5200,0.000006
output60,VGND,li1,28.5200,10.8800,0.000005
output59,VGND,li1,39.1000,16.3200,0.000006
output58,VGND,li1,17.4800,10.8800,0.000006
output57,VGND,li1,12.4200,10.8800,0.000006
output56,VGND,li1,9.6600,16.3200,0.000007
output55,VGND,li1,20.7000,43.5200,0.000007
output54,VGND,li1,30.3600,43.5200,0.000007
output53,VGND,li1,7.8200,16.3200,0.000007
output52,VGND,li1,27.1400,43.5200,0.000006
